Item Type,Publication Year,Title,Author,Source
journalArticle,2023,Robust Full Waveform Inversion: A Source Wavelet Manipulation Perspective,"Chenglong, B.A.O.; Lingyun, Q.I.U.; Rongqian, W.A.N.G.",SIAM Journal on Scientific Computing
journalArticle,2023,Seismic Inversion Based on Acoustic Wave Equations Using Physics-Informed Neural Network,"Zhang, Yijie; Zhu, Xueyu; Gao, Jinghuai",IEEE Transactions on Geoscience and Remote Sensing
journalArticle,2023,Seismic Velocity Inversion via Physical Embedding Recurrent Neural Networks (RNN),"Lu, Cai; Zhang, Chunlong",Applied Sciences
journalArticle,2023,Self-adaptive physics-driven deep learning for seismic wave modeling in complex topography,"Ding, Yi; Chen, Su; Li, Xiaojun; Wang, Suyang; Luan, Shuang; Sun, Hao",Engineering Applications of Artificial Intelligence
journalArticle,2023,Simulating Multicomponent Elastic Seismic Wavefield Using Deep Learning,"Song, Chao; Liu, Yang; Zhao, Pengfei; Tianshuo, Zhao; Zou, Jingbo; Liu, Cai",IEEE Geoscience and Remote Sensing Letters
journalArticle,2023,Simulation of Pier Ground Motion Wave Propagation Based on Machine Learning Algorithm and FEPG Finite Element Analysis System,"Ren, Jiaqi; Yuan, Yuan; Wang, Chenxi; Wang, Jianliang",
journalArticle,2023,Solving Seismic Wave Equations on Variable Velocity Models With Fourier Neural Operator,"Li, Bian; Wang, Hanchen; Feng, Shihang; Yang, Xiu; Lin, Youzuo",IEEE Transactions on Geoscience and Remote Sensing
conferencePaper,2023,"pyseis: a high-performance, user-friendly Python package for GPU-accelerated seismic modeling and subsurface imaging","Farris, S.; Barnier, G.; Biondi, E.; Clapp, R.",SEG Technical Program Expanded Abstracts
journalArticle,2022,3-D S Wave Imaging via Robust Neural Network Interpolation of 2-D Profiles From Wave-Equation Dispersion Inversion of Seismic Ambient Noise,"Chen, Yuqing; Saygin, Erdinc",Journal of Geophysical Research Solid Earth
journalArticle,2022,3D velocity model building based upon hybrid neural network,"Rusmanugroho, Herurisa; Li, Junxiao; Muhammed, M.; Sun, Jian",Second International Meeting for Applied Geoscience & Energy
journalArticle,2022,A Deep-Learning-Based Generalized Convolutional Model for Seismic Data and Its Application in Seismic Deconvolution,"Gao, Zhaoqi; Hu, Sichao; Li, Chuang; Chen, Hongling; Jiang, Xiudi; Pan, Zhibin; Gao, Jinghuai; Xu, Zongben",IEEE Transactions on Geoscience and Remote Sensing
journalArticle,2022,Accelerating 2D and 3D frequency-domain seismic wave modeling through interpolating frequency-domain wavefields by deep learning,"Cao, Wenzhong; Li, Quanli; Zhang, Jie; Zhang, Wei",Geophysics
journalArticle,2022,An Intriguing Property of Geophysics Inversion,"Feng, Yinan; Chen, Yinpeng; Feng, Shihang; Jin, Peng; Liu, Zicheng; Lin, Youzuo",arXiv (Cornell University)
